,transaction_id,session_id,transaction_time,product_id,amount
0,298,1,2014-01-01 00:00:00,5,127.64
1,2,1,2014-01-01 00:01:05,2,109.48
2,308,1,2014-01-01 00:02:10,3,95.06
3,116,1,2014-01-01 00:03:15,4,78.92
4,371,1,2014-01-01 00:04:20,3,31.54
5,486,1,2014-01-01 00:05:25,3,23.76
6,271,1,2014-01-01 00:06:30,3,43.63
7,192,1,2014-01-01 00:07:35,4,42.27
8,341,1,2014-01-01 00:08:40,3,47.68
9,10,1,2014-01-01 00:09:45,5,57.39
10,29,1,2014-01-01 00:10:50,2,20.91
11,158,1,2014-01-01 00:11:55,4,141.66
12,245,1,2014-01-01 00:13:00,1,121.75
13,495,1,2014-01-01 00:14:05,5,69.45
14,438,1,2014-01-01 00:15:10,4,76.38
15,175,1,2014-01-01 00:16:15,2,141.49
16,353,2,2014-01-01 00:17:20,4,42.99
17,270,2,2014-01-01 00:18:25,5,123.53
18,453,2,2014-01-01 00:19:30,5,9.32
19,370,2,2014-01-01 00:20:35,1,106.99
20,22,2,2014-01-01 00:21:40,3,116.02
21,250,2,2014-01-01 00:22:45,2,60.09
22,74,2,2014-01-01 00:23:50,5,90.69
23,207,2,2014-01-01 00:24:55,5,48.27
24,399,2,2014-01-01 00:26:00,2,135.25
25,122,2,2014-01-01 00:27:05,5,13.81
26,496,3,2014-01-01 00:28:10,1,137.82
27,459,3,2014-01-01 00:29:15,1,23.2
28,134,3,2014-01-01 00:30:20,3,120.08
29,384,3,2014-01-01 00:31:25,4,26.16
30,137,3,2014-01-01 00:32:30,2,111.96
31,354,3,2014-01-01 00:33:35,1,63.84
32,13,3,2014-01-01 00:34:40,1,8.7
33,90,3,2014-01-01 00:35:45,1,75.73
34,324,3,2014-01-01 00:36:50,1,141.86
35,365,3,2014-01-01 00:37:55,3,81.51
36,461,3,2014-01-01 00:39:00,5,102.76
37,26,3,2014-01-01 00:40:05,1,57.19
38,228,3,2014-01-01 00:41:10,3,86.53
39,34,3,2014-01-01 00:42:15,4,143.93
40,44,3,2014-01-01 00:43:20,5,147.73
41,290,4,2014-01-01 00:44:25,4,21.35
42,275,4,2014-01-01 00:45:30,5,108.11
43,101,4,2014-01-01 00:46:35,5,112.53
44,80,4,2014-01-01 00:47:40,5,6.29
